last_name, first_name,player_id,year,b_ab,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,b_rbi,b_total_bases,r_total_stolen_base,r_run,
Snow, J.T.,,2001,285,81,55,.246,.379,.371,34,108,0,43,
Richard, Chris,,2001,483,100,45,.265,.435,.333,61,210,11,74,
Catalanotto, Frank,,2001,463,55,39,.330,.490,.391,54,227,15,77,
Pierre, Juan,,2001,617,29,41,.327,.415,.370,55,256,46,108,
Ankiel, Rick,,2001,8,5,1,.000,.000,.100,0,0,0,1,
Mackowiak, Rob,,2001,214,52,15,.266,.411,.316,21,88,4,30,
Burnitz, Jeromy,,2001,562,150,80,.251,.504,.347,100,283,0,104,
Branson, Jeff,,2001,21,4,0,.286,.286,.286,0,6,0,3,
Lamb, Mike,,2001,284,27,14,.306,.412,.346,35,117,2,42,
Marquis, Jason,,2001,31,10,2,.032,.032,.086,0,1,0,3,
Williams, Dave,,2001,34,19,0,.118,.176,.108,2,6,0,1,
Daubach, Brian,,2001,407,108,53,.263,.509,.350,71,207,1,54,
McGriff, Fred,,2001,513,106,66,.306,.544,.386,102,279,1,67,
Anderson, Marlon,,2001,522,74,35,.293,.421,.331,61,220,8,69,
Levis, Jesse,,2001,33,7,3,.242,.303,.306,3,10,0,6,
Myers, Greg,,2001,161,38,21,.224,.447,.313,31,72,0,24,
Barnes, Larry,,2001,40,9,1,.100,.175,.122,2,7,0,2,
Donnels, Chris,,2001,88,25,12,.170,.295,.277,8,26,0,8,
Vander Wal, John,,2001,452,122,68,.270,.442,.362,70,200,8,58,
Bohanon, Brian,,2001,31,7,1,.323,.452,.333,3,14,0,3,
Cox, Steve,,2001,342,75,24,.257,.427,.323,51,146,2,37,
Munson, Eric,,2001,66,21,3,.152,.273,.188,6,18,0,4,
Sanders, Deion,,2001,75,10,4,.173,.240,.229,4,18,3,6,
Baines, Harold,,2001,84,16,8,.131,.143,.202,6,12,0,3,
Patterson, Jarrod,,2001,41,4,0,.268,.488,.302,4,20,0,6,
Griffey Jr., Ken,,2001,364,72,44,.286,.533,.365,65,194,2,57,
Harris, Lenny,,2001,135,9,8,.222,.274,.266,9,37,3,12,
Tyner, Jason,,2001,396,42,15,.280,.326,.307,21,129,31,51,
Cummings, Midre,,2001,20,4,0,.300,.350,.286,1,7,0,1,
Matthews, Mike,,2001,17,4,0,.118,.294,.111,1,5,0,2,
Beimel, Joe,,2001,26,10,1,.269,.269,.258,0,7,0,3,
Grace, Mark,,2001,476,36,67,.298,.466,.385,78,222,1,66,
Klesko, Ryan,,2001,538,89,88,.286,.539,.384,113,290,23,105,
Johnson, Mark,,2001,173,31,23,.249,.382,.322,18,66,2,21,
Womack, Tony,,2001,481,54,23,.266,.345,.303,30,166,28,66,
Hansen, Dave,,2001,140,29,32,.236,.350,.371,20,49,0,13,
McKnight, Tony,,2001,24,10,2,.000,.000,.067,0,0,0,0,
Dellucci, David,,2001,217,52,22,.276,.479,.349,40,104,2,28,
Nixon, Trot,,2001,535,113,79,.280,.505,.373,88,270,7,100,
Johnson, Mark,,2001,118,31,16,.254,.475,.338,23,56,0,17,
Vina, Fernando,,2001,631,35,32,.303,.418,.355,56,264,17,95,
Jones, Jacque,,2001,475,92,39,.276,.417,.333,49,198,12,57,
Gonzalez, Luis,,2001,609,83,100,.325,.688,.429,142,419,1,128,
Lockhart, Keith,,2001,178,22,16,.219,.303,.286,12,54,1,17,
Martinez, Dave,,2001,237,44,21,.287,.384,.347,20,91,3,33,
Tucker, Michael,,2001,436,102,46,.252,.415,.316,61,181,16,62,
Sutton, Larry,,2001,42,10,1,.119,.214,.136,3,9,0,3,
Martinez, Tino,,2001,589,89,42,.280,.501,.329,113,295,1,89,
Dunn, Adam,,2001,244,74,38,.262,.578,.371,43,141,4,54,
Fox, Andy,,2001,81,17,15,.185,.321,.327,7,26,1,8,
Lankford, Ray,,2001,389,145,62,.252,.491,.357,58,191,10,58,
Giambi, Jeremy,,2001,371,83,63,.283,.450,.388,57,167,0,64,
Hatteberg, Scott,,2001,278,26,33,.245,.345,.332,25,96,1,34,
Robinson, Kerry,,2001,186,20,12,.285,.344,.324,15,64,11,34,
Lieber, Jon,,2001,76,22,2,.158,.184,.161,2,14,0,3,
Stevens, Lee,,2001,542,157,74,.245,.452,.338,95,245,2,77,
Chavez, Eric,,2001,552,99,41,.288,.540,.338,114,298,8,91,
Morris, Warren,,2001,103,9,3,.204,.320,.239,11,33,2,6,
Olerud, John,,2001,572,70,94,.302,.472,.401,95,270,3,91,
Gibbons, Jay,,2001,225,39,17,.236,.480,.301,36,108,0,27,
Justice, David,,2001,381,83,54,.241,.430,.333,51,164,1,58,
Rueter, Kirk,,2001,58,5,5,.172,.172,.203,5,10,0,5,
Wilkins, Rick,,2001,22,8,2,.182,.364,.250,8,8,0,3,
Jenkins, Geoff,,2001,397,120,36,.264,.474,.334,63,188,4,60,
Redman, Tike,,2001,125,25,4,.224,.296,.246,4,37,3,8,
Floyd, Cliff,,2001,555,101,59,.317,.578,.390,103,321,18,123,
Valent, Eric,,2001,41,11,4,.098,.146,.196,1,6,0,3,
Anderson, Brady,,2001,430,77,60,.202,.300,.309,45,129,12,50,
Herges, Matt,,2001,9,3,0,.444,.444,.400,1,4,0,0,
Thome, Jim,,2001,526,185,111,.291,.624,.416,124,328,0,101,
Anderson, Jimmy,,2001,59,15,4,.119,.136,.159,3,8,0,2,
Barkett, Andy,,2001,46,7,4,.304,.413,.373,3,19,1,5,
Houston, Tyler,,2001,235,62,18,.289,.472,.340,38,111,0,36,
Neagle, Denny,,2001,56,12,2,.196,.375,.206,9,21,0,6,
Pierzynski, A.J.,,2001,381,57,16,.289,.441,.319,55,168,1,51,
Witt, Kevin,,2001,27,7,2,.185,.407,.233,5,11,0,5,
Harris, Willie,,2001,24,7,0,.125,.167,.120,0,4,0,3,
Drew, J.D.,,2001,375,75,57,.323,.613,.411,73,230,13,80,
Leach, Jalal,,2001,10,3,2,.100,.100,.250,1,1,0,0,
Grieve, Ben,,2001,542,159,87,.264,.387,.372,72,210,7,72,
Fullmer, Brad,,2001,522,88,38,.274,.444,.326,83,232,5,71,
Lofton, Kenny,,2001,517,69,47,.261,.398,.319,66,206,16,91,
Wolf, Randy,,2001,45,13,3,.178,.178,.208,2,8,0,2,
Tracy, Andy,,2001,55,26,6,.109,.236,.190,8,13,0,4,
Liefer, Jeff,,2001,254,69,20,.256,.520,.312,39,132,0,36,
O'Neill, Paul,,2001,510,59,48,.267,.459,.330,70,234,22,77,
Peters, Chris,,2001,11,2,0,.091,.091,.091,0,1,0,1,
Bako, Paul,,2001,137,34,20,.212,.343,.312,15,47,1,19,
McMillon, Billy,,2001,92,25,7,.217,.359,.284,14,33,1,7,
Giambi, Jason,,2001,520,83,129,.342,.660,.477,120,343,2,109,
Sweeney, Mark,,2001,89,23,12,.258,.416,.340,11,37,2,9,
Damon, Johnny,,2001,644,70,61,.256,.363,.321,49,234,27,108,
Zerbe, Chad,,2001,9,1,0,.222,.222,.182,1,2,0,1,
Huff, Aubrey,,2001,411,72,23,.248,.372,.288,45,153,1,42,
Bragg, Darren,,2001,61,24,4,.262,.377,.313,5,23,3,5,
Wakeland, Chris,,2001,36,13,0,.250,.472,.250,6,17,0,5,
Cruz, Jacob,,2001,144,50,15,.215,.333,.301,18,48,0,19,
McGuire, Ryan,,2001,54,15,7,.185,.278,.270,8,15,1,8,
Brogna, Rico,,2001,206,46,14,.248,.335,.296,21,69,3,15,
Hollandsworth, Todd,,2001,117,20,8,.368,.667,.408,19,78,5,21,
Erstad, Darin,,2001,631,113,62,.258,.360,.328,63,227,24,89,
Smith, Bud,,2001,25,5,1,.160,.160,.179,1,4,0,0,
Goodwin, Tom,,2001,286,58,23,.231,.336,.285,22,96,22,51,
Finley, Steve,,2001,495,67,47,.275,.430,.336,73,213,11,66,
